provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
Jawa Barat,208.8,131,43.57,90.24,0.739,141,135.45,0.68,0
Banten,227.69,138,31.31,64.09,0.808,146,187.3,0.94,0
DKI Jakarta,13.51,147,17.61,94.48,0.779,151,13.05,0.07,0
Riau,424.21,140,28.29,62.02,0.597,113,401.37,2.01,0
Riau,83.22,129,36.21,74.11,0.568,118,81.28,0.41,0
Bali,245.12,133,29.65,58.21,0.921,137,162.21,0.81,0
Jawa Timur,82.52,119,39.8,50.84,0.602,129,76.53,0.38,0
Jawa Timur,73.94,156,41.89,80.65,0.616,146,47.68,0.24,0
DKI Jakarta,224.56,122,63.82,66.55,0.862,123,104.66,0.52,1
Banten,405.24,110,48.81,66.91,0.969,120,317.18,1.59,0
Banten,130.52,132,15.36,69.98,0.431,130,102.81,0.51,1
Sumatera Selatan,13.53,131,30.68,88.11,0.489,135,12.1,0.06,0
Sumatera Selatan,112.08,139,31.8,69.59,0.777,151,106.06,0.53,0
Jawa Barat,60.48,126,41.9,54.23,0.831,127,59.39,0.3,0
Jawa Tengah,125.57,138,23.8,63.66,0.914,115,107.54,0.54,0
Sumatera Utara,88.37,141,28.62,78.23,0.771,154,71.35,0.36,0
Jawa Timur,49.37,134,20.07,98.68,0.768,139,20.25,0.1,0
DKI Jakarta,17.06,117,27.77,57.01,0.458,102,8.08,0.04,1
Bali,12.7,159,28.22,65.85,0.599,174,6.23,0.03,1
Sumatera Selatan,191.19,121,31.24,73.79,0.893,99,108.68,0.54,0
Sumatera Utara,76.84,131,20.76,96.29,0.706,141,75.35,0.38,0
Jawa Timur,409.19,125,46.78,55.31,0.692,131,356.79,1.78,1
Bali,493.0,136,40.67,88.9,0.883,120,400.12,2.0,1
DKI Jakarta,205.76,131,17.61,85.42,0.874,138,98.94,0.49,0
Banten,139.6,127,35.31,65.02,0.645,103,115.29,0.58,0
Bali,56.51,102,16.22,87.91,0.676,110,49.43,0.25,0
Sulawesi Selatan,96.85,142,51.11,78.17,0.789,139,58.13,0.29,0
Jawa Tengah,131.58,124,54.37,58.4,0.877,118,73.48,0.37,0
Riau,332.05,144,34.33,64.0,0.7,158,280.99,1.4,0
Jawa Barat,161.83,133,24.77,66.09,0.834,107,77.4,0.39,1
Jawa Barat,53.06,119,27.03,65.83,0.666,113,41.28,0.21,0
Jawa Timur,84.83,140,29.56,86.57,0.821,142,87.72,0.44,0
Bali,499.19,142,33.72,82.35,0.684,118,207.68,1.04,1
Riau,47.18,146,51.45,90.17,0.585,117,24.47,0.12,1
Banten,216.55,125,46.47,75.03,0.845,123,161.24,0.81,0
Jawa Tengah,35.45,125,46.65,67.18,0.621,112,15.82,0.08,1
Jawa Barat,39.25,121,37.05,53.32,0.892,114,33.76,0.17,0
Jawa Tengah,351.48,152,21.16,88.93,0.39,149,159.04,0.8,1
Jawa Barat,101.11,130,25.76,53.66,0.742,119,53.04,0.27,1
Jawa Barat,108.66,118,35.73,64.77,0.777,101,82.15,0.41,0
Riau,69.59,134,20.59,82.78,0.711,116,64.72,0.32,0
Jawa Barat,80.81,125,38.65,87.44,0.759,107,51.6,0.26,0
DKI Jakarta,97.81,126,44.66,53.36,0.811,127,42.71,0.21,0
Sumatera Utara,47.97,123,41.54,79.77,0.614,103,30.04,0.15,1
Jawa Tengah,42.4,125,41.06,56.72,0.802,136,18.99,0.09,0
Banten,241.13,133,12.6,87.1,0.833,106,125.97,0.63,0
Jawa Barat,69.09,142,51.0,85.76,0.884,126,48.66,0.24,0
Jawa Tengah,103.52,122,16.19,86.65,0.808,126,100.68,0.5,0
Banten,487.35,127,33.17,53.12,0.707,105,478.0,2.39,0
Riau,14.79,153,42.42,77.41,0.804,149,12.69,0.06,0
Banten,56.42,128,39.3,61.8,0.911,113,53.46,0.27,0
Sumatera Utara,118.95,125,19.67,74.29,0.632,136,88.93,0.44,0
Sumatera Utara,317.12,138,21.82,98.48,0.796,119,323.82,1.62,0
Jawa Tengah,243.86,151,38.44,54.43,0.645,124,229.84,1.15,0
Jawa Tengah,332.18,115,41.13,79.11,0.649,113,274.74,1.37,1
Banten,58.57,140,21.71,58.08,0.753,127,32.33,0.16,0
DKI Jakarta,127.64,133,39.71,74.99,0.602,142,114.19,0.57,0
Riau,399.32,164,16.82,75.52,0.982,176,386.86,1.93,0
Riau,282.6,137,42.49,72.36,0.801,142,200.95,1.0,0
Jawa Timur,113.82,132,24.39,81.34,0.733,110,72.42,0.36,0
Jawa Timur,23.55,135,35.97,97.74,0.711,134,15.0,0.08,0
Jawa Timur,140.94,140,33.95,89.46,0.879,115,125.29,0.63,0
Riau,12.71,142,48.93,96.97,0.662,114,12.94,0.06,0
Sumatera Selatan,259.78,144,37.91,59.28,0.709,123,171.54,0.86,0
Jawa Barat,413.35,142,27.81,98.67,0.695,134,193.95,0.97,1
Banten,215.13,124,39.32,64.95,0.43,115,91.94,0.46,1
DKI Jakarta,57.44,156,60.71,51.67,0.745,161,54.03,0.27,0
Banten,108.83,139,43.88,71.38,0.763,133,65.51,0.33,0
Jawa Tengah,118.67,114,34.29,62.06,0.78,100,110.95,0.55,0
Jawa Timur,74.45,116,25.0,87.34,0.752,97,35.39,0.18,0
Banten,318.22,151,27.6,54.26,0.364,146,135.44,0.68,1
Jawa Timur,74.1,121,43.16,76.85,0.491,121,44.55,0.22,1
Jawa Timur,300.29,107,24.37,64.18,0.795,92,181.73,0.91,0
Sumatera Selatan,128.97,110,35.03,60.13,0.696,108,135.21,0.68,0
Bali,30.19,153,52.25,92.91,0.833,161,16.76,0.08,0
DKI Jakarta,335.66,128,36.8,75.26,0.85,111,296.01,1.48,0
Jawa Timur,113.52,117,22.05,65.95,0.786,122,113.37,0.57,0
Bali,25.49,113,61.13,86.56,0.391,122,23.16,0.12,0
Sumatera Utara,335.65,132,56.15,91.81,0.94,142,346.81,1.73,0
Jawa Tengah,234.32,135,41.01,71.66,0.7,113,119.23,0.6,1
Sumatera Utara,58.41,136,50.31,58.92,0.968,110,49.32,0.25,0
Jawa Barat,91.93,109,31.8,98.72,0.445,110,67.97,0.34,0
DKI Jakarta,385.15,139,43.69,67.59,0.676,127,371.86,1.86,0
Riau,72.6,123,29.92,60.07,0.811,104,64.1,0.32,0
Sumatera Utara,137.77,119,18.74,55.06,0.691,111,124.87,0.62,0
Sumatera Selatan,249.26,139,66.1,56.07,0.838,133,162.29,0.81,1
Jawa Timur,77.27,124,18.12,96.21,0.928,105,64.91,0.32,0
Bali,306.06,127,38.57,96.39,0.874,103,297.74,1.49,0
Banten,190.42,140,38.43,74.89,0.404,144,100.58,0.5,1
Sumatera Selatan,130.46,126,41.19,83.91,0.455,118,54.85,0.27,1
Jawa Barat,113.57,112,33.92,90.8,0.556,97,68.42,0.34,0
DKI Jakarta,289.54,133,34.05,77.32,0.865,144,278.26,1.39,0
Sumatera Selatan,215.16,166,36.66,82.68,0.839,170,151.07,0.76,1
Bali,107.16,118,40.76,97.38,0.539,108,60.76,0.3,1
Sulawesi Selatan,72.54,132,34.98,58.45,0.526,116,71.96,0.36,0
Jawa Timur,81.98,125,34.18,56.8,0.824,127,35.04,0.18,1
DKI Jakarta,157.52,146,19.15,86.9,0.557,148,145.59,0.73,0
Sulawesi Selatan,14.09,123,59.16,84.46,0.735,131,12.95,0.06,0
Riau,36.51,149,41.43,59.11,0.856,119,26.92,0.13,0
Jawa Tengah,421.58,111,37.51,64.82,0.935,109,240.93,1.2,1
Sumatera Selatan,239.43,119,27.51,83.58,0.439,105,163.4,0.82,1
Sulawesi Selatan,221.21,140,22.96,74.22,0.499,152,139.41,0.7,1
Jawa Tengah,126.48,142,45.32,93.78,0.785,114,62.24,0.31,0
Sumatera Selatan,57.62,156,33.08,91.02,0.257,147,45.33,0.23,0
Sumatera Selatan,145.16,132,42.45,73.87,0.746,133,76.53,0.38,1
Sumatera Utara,15.48,144,18.77,82.68,0.826,147,16.21,0.08,0
Riau,114.14,130,53.56,81.53,0.961,128,88.27,0.44,0
Jawa Tengah,12.08,126,45.82,54.51,0.641,118,5.75,0.03,1
Sulawesi Selatan,80.56,124,34.03,70.85,0.885,133,64.4,0.32,0
Sulawesi Selatan,642.79,125,40.61,71.55,0.806,121,415.94,2.08,1
Sulawesi Selatan,69.04,133,43.89,93.97,0.59,127,35.95,0.18,1
Sumatera Selatan,186.31,142,18.96,93.38,0.691,150,110.51,0.55,0
DKI Jakarta,87.1,147,55.13,52.82,0.939,137,49.33,0.25,0
Jawa Timur,15.94,140,40.8,91.41,0.739,137,12.42,0.06,0
Banten,10.87,112,26.55,79.97,0.755,100,6.3,0.03,0
Sulawesi Selatan,34.31,133,21.84,50.8,0.808,114,14.79,0.07,1
Sumatera Utara,47.86,135,46.85,68.7,0.58,126,44.59,0.22,0
Sumatera Utara,85.22,137,37.53,93.52,0.76,123,49.9,0.25,0
Jawa Barat,52.15,126,40.79,67.55,0.729,102,31.19,0.16,0
Sumatera Selatan,123.26,118,35.32,83.15,0.637,111,84.02,0.42,0
Jawa Timur,235.68,143,22.97,77.72,0.488,142,215.8,1.08,1
DKI Jakarta,14.51,121,41.1,78.9,0.605,98,11.6,0.06,0
Sulawesi Selatan,32.23,131,32.63,73.56,0.642,127,14.73,0.07,1
Jawa Barat,440.43,126,34.74,73.63,0.782,112,307.76,1.54,0
DKI Jakarta,203.75,138,63.52,94.23,0.791,112,181.72,0.91,0
DKI Jakarta,37.32,126,45.43,70.28,0.747,104,15.92,0.08,1
Banten,21.61,134,46.12,59.38,0.821,135,9.21,0.05,1
Jawa Barat,299.03,134,67.65,70.57,0.743,128,256.06,1.28,0
Bali,367.03,125,39.61,85.91,0.683,135,266.47,1.33,1
Sumatera Utara,121.62,140,36.44,73.29,0.594,140,61.6,0.31,1
Jawa Timur,126.58,131,26.85,85.87,0.846,142,105.78,0.53,0
DKI Jakarta,23.33,137,29.57,61.75,0.798,121,10.57,0.05,1
Banten,111.31,136,10.43,78.56,0.817,132,76.69,0.38,0
Jawa Barat,130.87,128,44.49,92.35,0.598,123,122.09,0.61,0
Sulawesi Selatan,425.28,97,19.8,75.94,0.872,92,219.07,1.1,1
Jawa Tengah,38.33,120,45.83,81.2,0.753,128,30.02,0.15,0
Banten,74.16,138,34.48,83.26,0.842,132,47.53,0.24,0
DKI Jakarta,107.0,133,36.54,86.24,0.446,116,104.93,0.52,0
Jawa Barat,37.59,122,34.49,67.16,0.677,123,30.84,0.15,0
Jawa Tengah,241.13,155,51.63,80.72,0.722,136,152.75,0.76,1
DKI Jakarta,62.06,129,49.51,70.39,0.895,106,44.56,0.22,0
Sumatera Selatan,61.33,129,34.65,69.16,0.808,125,45.5,0.23,0
Sulawesi Selatan,245.14,131,24.21,73.28,0.739,110,254.92,1.27,0
Sulawesi Selatan,24.82,150,46.09,69.98,0.574,152,21.96,0.11,0
Jawa Tengah,127.12,152,23.31,51.27,0.432,141,109.84,0.55,0
Sumatera Selatan,63.3,121,16.34,86.36,0.957,128,65.79,0.33,0
Sumatera Utara,86.14,149,40.98,78.63,0.535,137,43.03,0.22,0
DKI Jakarta,108.95,148,49.62,56.74,0.776,135,76.66,0.38,0
DKI Jakarta,206.79,122,30.14,62.8,0.827,113,211.99,1.06,0
Sumatera Utara,152.01,164,39.85,79.94,0.782,166,145.03,0.73,0
Banten,166.41,116,30.01,75.38,0.306,98,88.73,0.44,1
DKI Jakarta,141.7,133,43.66,85.45,0.847,120,95.5,0.48,0
Sulawesi Selatan,109.16,132,48.14,73.97,0.518,116,57.0,0.28,1
Sumatera Selatan,305.57,117,31.85,91.39,0.931,107,261.4,1.31,0
Sumatera Utara,19.55,126,22.67,53.8,0.639,135,15.66,0.08,0
Sulawesi Selatan,174.2,144,17.52,80.05,0.875,142,135.49,0.68,0
Sulawesi Selatan,110.66,136,46.11,68.21,0.871,129,109.22,0.55,0
Sulawesi Selatan,40.13,119,21.36,65.04,0.63,99,18.67,0.09,1
Jawa Tengah,412.91,128,39.46,96.24,0.611,124,417.59,2.09,0
Bali,299.45,135,44.33,92.33,0.934,140,214.09,1.07,0
Sumatera Utara,304.97,124,28.98,59.0,0.833,112,127.34,0.64,1
Sumatera Selatan,71.22,131,33.01,52.81,0.766,140,70.83,0.35,0
Bali,141.91,133,46.99,92.5,0.553,120,142.66,0.71,0
Jawa Barat,190.32,118,25.3,58.3,0.823,100,192.88,0.96,0
Banten,129.9,133,24.08,95.48,0.886,139,122.45,0.61,0
Jawa Barat,160.13,104,32.19,63.59,0.787,100,93.03,0.47,1
Jawa Tengah,157.71,117,50.33,70.17,0.867,111,92.45,0.46,0
Banten,96.24,124,54.33,52.2,0.81,133,59.02,0.3,0
Bali,72.9,130,33.81,76.34,0.941,136,39.85,0.2,0
Bali,72.95,132,26.45,59.25,0.668,144,72.25,0.36,0
Jawa Timur,35.32,142,47.77,71.12,0.571,143,26.4,0.13,0
Jawa Timur,270.68,132,14.97,95.05,0.732,128,155.1,0.78,0
Sumatera Utara,441.71,132,37.97,62.38,0.804,126,398.4,1.99,0
Sulawesi Selatan,116.69,143,34.47,81.11,0.746,129,94.28,0.47,0
Sulawesi Selatan,124.27,138,50.53,59.9,0.478,117,80.35,0.4,1
Jawa Tengah,762.19,127,51.74,79.88,0.628,133,757.78,3.79,0
Jawa Barat,293.92,149,23.69,64.17,0.828,119,223.7,1.12,0
Sumatera Selatan,231.08,145,37.01,83.4,0.909,154,186.78,0.93,0
Jawa Timur,51.4,116,28.15,87.76,0.719,101,21.65,0.11,1
Jawa Barat,238.77,141,31.48,93.15,0.913,122,193.27,0.97,0
DKI Jakarta,25.59,123,42.41,95.01,0.831,98,17.1,0.09,0
Banten,46.58,136,30.98,61.82,0.857,123,41.28,0.21,0
Jawa Timur,129.61,126,37.33,56.32,0.698,104,55.54,0.28,1
Sumatera Utara,68.59,140,46.49,52.38,0.69,119,44.64,0.22,0
Jawa Tengah,91.15,158,53.18,85.3,0.719,159,40.35,0.2,0
Sumatera Selatan,77.51,123,38.46,59.16,0.825,113,77.93,0.39,0
Riau,182.39,130,36.41,89.21,0.525,104,122.73,0.61,0
Banten,80.37,142,21.71,97.28,0.647,127,39.42,0.2,1
Jawa Barat,96.04,133,54.03,57.25,0.725,106,84.82,0.42,0
Sumatera Utara,351.43,136,40.95,63.88,0.721,146,342.02,1.71,0
Riau,306.01,152,36.63,75.68,0.805,160,276.62,1.38,0
Jawa Timur,19.42,126,36.02,71.1,0.737,114,18.5,0.09,0
Jawa Tengah,56.04,120,39.33,70.87,0.82,104,53.27,0.27,0
Sumatera Utara,326.51,126,44.26,60.64,0.928,104,340.57,1.7,0
Jawa Timur,15.5,144,45.75,93.57,0.574,145,9.86,0.05,0
Banten,45.2,130,54.33,83.4,0.788,108,28.32,0.14,0
Jawa Timur,153.97,147,37.91,57.54,0.79,147,72.76,0.36,1
Jawa Timur,144.9,123,56.05,50.22,0.556,107,138.73,0.69,0
Sumatera Selatan,103.53,139,47.69,87.37,0.817,141,104.03,0.52,0
Banten,96.13,129,34.28,50.78,0.733,118,56.09,0.28,0
Banten,186.1,125,14.99,93.14,0.756,105,148.84,0.74,0
Riau,207.39,127,36.03,75.94,0.869,112,115.97,0.58,0
Jawa Timur,258.99,110,53.7,95.57,0.78,110,248.7,1.24,0
Jawa Barat,113.9,151,25.7,87.82,0.872,151,46.07,0.23,0
Bali,36.79,134,35.99,93.82,0.47,131,31.34,0.16,1
DKI Jakarta,144.36,115,36.98,86.45,0.659,103,108.69,0.54,0
Sumatera Utara,212.66,123,46.31,78.25,0.374,121,124.61,0.62,1
Jawa Tengah,537.14,133,30.35,58.48,0.838,108,537.12,2.69,0
Jawa Tengah,114.54,128,24.57,85.65,0.883,125,81.52,0.41,0
DKI Jakarta,74.8,125,41.84,79.02,0.841,129,55.42,0.28,0
Sulawesi Selatan,346.79,136,26.08,72.28,0.809,114,157.49,0.79,0
Banten,17.12,137,12.97,77.37,0.87,143,11.43,0.06,0
Jawa Timur,79.71,136,57.08,61.38,0.782,145,40.12,0.2,1
Sumatera Selatan,151.29,135,46.12,69.82,0.671,146,115.02,0.58,0
DKI Jakarta,62.1,112,57.6,56.09,0.747,90,48.19,0.24,0
Sumatera Utara,307.67,135,45.49,70.08,0.721,144,171.89,0.86,1
Banten,153.46,124,43.16,72.88,0.714,101,155.49,0.78,0
Sumatera Utara,576.29,140,39.43,92.03,0.542,127,343.95,1.72,1
Jawa Barat,99.65,139,32.77,75.83,0.464,134,82.23,0.41,0
Sulawesi Selatan,43.66,112,41.15,94.53,0.535,97,45.25,0.23,0
Jawa Tengah,320.52,124,28.36,97.43,0.764,112,295.63,1.48,1
Riau,108.03,142,22.17,52.4,0.592,152,95.61,0.48,0
Sumatera Selatan,243.03,123,31.01,79.26,0.894,104,106.57,0.53,1
Jawa Timur,117.05,161,50.5,64.66,0.747,154,86.7,0.43,1
Jawa Barat,30.35,134,20.21,91.71,0.662,140,27.01,0.14,0
Jawa Tengah,29.41,137,20.4,74.21,0.451,119,24.39,0.12,0
Bali,70.23,123,42.1,53.83,0.885,132,54.01,0.27,0
Sulawesi Selatan,29.49,114,30.02,60.54,0.912,124,29.45,0.15,0
Sulawesi Selatan,21.39,122,40.83,83.02,0.731,107,16.33,0.08,0
Jawa Tengah,459.16,127,46.88,53.9,0.935,119,433.66,2.17,0
Riau,48.38,124,40.54,68.57,0.8,99,47.21,0.24,0
Jawa Barat,132.06,144,27.41,92.71,0.973,156,120.31,0.6,0
Sumatera Selatan,14.77,132,50.4,51.43,0.396,111,7.35,0.04,1
Banten,88.8,130,43.91,84.11,0.934,120,80.25,0.4,0
Sumatera Selatan,48.62,129,35.32,83.1,0.746,129,44.32,0.22,0
Riau,92.73,147,34.74,65.72,0.862,146,77.7,0.39,0
Sulawesi Selatan,313.67,128,39.49,55.52,0.871,127,201.2,1.01,0
Banten,70.29,141,31.26,55.02,0.75,113,41.32,0.21,1
Jawa Timur,182.62,123,15.43,97.49,0.859,125,150.3,0.75,0
Sumatera Utara,57.82,141,44.0,83.17,0.824,144,50.56,0.25,0
Jawa Barat,195.12,121,43.29,68.42,0.666,116,194.72,0.97,0
Jawa Barat,32.99,120,7.39,90.84,0.858,122,20.52,0.1,0
Sumatera Utara,189.67,127,41.13,55.06,0.712,101,111.51,0.56,0
Bali,209.66,118,56.08,56.22,0.817,100,184.91,0.92,0
Sumatera Utara,17.0,142,21.47,59.68,0.917,116,17.62,0.09,0
Sumatera Selatan,15.04,119,34.12,87.41,0.972,106,8.86,0.04,0
Jawa Barat,160.28,118,32.82,70.04,0.734,101,92.69,0.46,1
Banten,70.5,129,54.92,81.49,0.57,110,69.16,0.35,0
Riau,309.1,148,48.45,61.39,0.777,137,176.83,0.88,1
Jawa Timur,738.5,136,24.46,88.09,0.926,134,494.78,2.47,1
DKI Jakarta,126.27,136,39.11,89.28,0.471,130,131.94,0.66,0
DKI Jakarta,151.9,128,62.63,70.25,0.582,134,139.83,0.7,0
Sulawesi Selatan,58.32,132,27.5,60.25,0.603,121,32.8,0.16,1
Riau,527.3,138,34.87,80.87,0.946,127,537.36,2.69,0
Jawa Tengah,153.63,120,41.16,62.55,0.74,96,145.7,0.73,0
Jawa Tengah,114.66,142,27.68,57.27,0.762,145,118.46,0.59,0
DKI Jakarta,105.47,133,56.16,80.17,0.376,130,69.83,0.35,0
Sulawesi Selatan,23.25,129,29.33,75.13,0.606,108,19.38,0.1,0
Jawa Barat,177.68,127,18.33,88.39,0.951,108,115.17,0.58,0
Sumatera Selatan,37.72,112,28.7,64.32,0.734,95,25.93,0.13,0
Jawa Tengah,39.89,119,42.84,61.04,0.659,109,33.36,0.17,0
Jawa Timur,186.93,131,25.42,81.39,0.8,106,125.16,0.63,0
Jawa Tengah,20.5,134,38.63,84.35,0.708,138,13.78,0.07,0
Bali,121.0,127,41.75,70.25,0.772,113,91.01,0.46,0
DKI Jakarta,143.48,155,20.49,71.68,0.641,166,67.4,0.34,1
Jawa Timur,22.63,131,28.24,56.05,0.7,115,23.55,0.12,0
Jawa Tengah,57.07,123,39.19,73.0,0.67,111,53.5,0.27,0
Jawa Tengah,232.02,116,43.43,97.11,0.964,124,165.56,0.83,0
Jawa Barat,134.92,132,28.53,55.57,0.865,112,120.25,0.6,0
Sulawesi Selatan,79.59,117,36.82,77.83,0.102,123,83.44,0.42,0
Jawa Timur,45.61,129,31.59,50.9,0.918,109,33.55,0.17,0
Banten,141.38,133,43.73,65.94,0.729,126,123.05,0.62,0
Jawa Timur,71.75,135,41.23,87.3,0.576,143,32.66,0.16,1
Sulawesi Selatan,101.67,137,30.52,77.79,0.559,116,103.86,0.52,0
Jawa Timur,171.65,122,40.74,53.98,0.725,98,87.16,0.44,1
Jawa Timur,298.77,121,30.05,72.14,0.865,105,275.06,1.38,0
Jawa Timur,598.16,139,40.49,53.87,0.706,122,428.88,2.14,1
Jawa Timur,220.14,142,40.66,68.3,0.592,130,180.26,0.9,0
DKI Jakarta,176.13,144,63.45,87.68,0.571,147,138.69,0.69,1
Riau,585.88,137,30.96,62.65,0.436,111,392.57,1.96,0
DKI Jakarta,60.89,146,33.3,72.22,0.833,141,62.05,0.31,0
Jawa Tengah,117.79,156,27.23,74.52,0.576,158,70.86,0.35,0
Jawa Tengah,106.26,148,22.61,91.81,0.426,154,58.47,0.29,1
Jawa Tengah,163.48,121,29.52,55.95,0.596,131,160.41,0.8,0
Sumatera Selatan,179.09,126,42.98,76.97,0.487,131,105.88,0.53,0
Sumatera Utara,481.59,142,43.85,51.51,0.837,117,226.38,1.13,1
Sulawesi Selatan,39.63,139,38.55,54.57,0.522,118,19.89,0.1,0
Jawa Timur,129.96,145,31.45,60.82,0.607,147,82.16,0.41,1
Sulawesi Selatan,79.94,140,29.08,85.27,0.871,120,77.62,0.39,0
DKI Jakarta,39.25,128,24.0,52.01,0.701,111,32.63,0.16,0
Sumatera Utara,34.64,109,28.32,96.31,0.573,114,16.71,0.08,0
Sumatera Selatan,66.85,121,19.46,70.96,0.734,113,50.0,0.25,0
Sumatera Utara,72.63,140,51.29,91.09,0.579,128,58.45,0.29,1
Sulawesi Selatan,354.87,122,57.05,60.87,0.871,114,328.33,1.64,0
Jawa Timur,80.61,131,11.77,66.55,0.663,114,61.78,0.31,0
DKI Jakarta,139.8,137,38.47,85.62,0.641,113,87.13,0.44,0
Sumatera Selatan,170.64,131,38.27,68.58,0.615,143,178.71,0.89,0
DKI Jakarta,147.75,124,37.51,74.87,0.858,110,84.03,0.42,0
Sumatera Selatan,92.43,126,27.89,89.65,0.695,120,94.92,0.47,0
Sumatera Selatan,365.37,135,47.27,81.9,0.544,110,195.84,0.98,1
Bali,327.99,132,39.93,90.96,0.709,111,241.64,1.21,1
Banten,129.01,129,47.41,54.24,0.425,107,60.87,0.3,1
Bali,23.07,148,26.15,79.8,0.724,120,22.62,0.11,0
Jawa Barat,95.79,130,18.4,79.46,0.888,129,68.79,0.34,0
Banten,69.39,123,40.22,79.75,0.751,99,67.63,0.34,0
Jawa Barat,117.76,125,23.44,78.85,0.603,117,110.25,0.55,0
Sumatera Selatan,98.71,134,47.66,85.47,0.887,133,51.68,0.26,0
Sumatera Selatan,122.97,151,9.48,91.36,0.95,137,53.86,0.27,1
Bali,165.58,142,29.38,61.25,0.851,119,164.89,0.82,0
Sumatera Selatan,177.45,131,27.61,55.12,0.718,113,135.82,0.68,1
Jawa Timur,169.06,163,31.01,53.62,0.903,137,161.32,0.81,0
DKI Jakarta,209.93,129,38.13,57.76,0.656,114,178.11,0.89,0
Sulawesi Selatan,248.5,122,39.75,82.14,0.807,110,223.71,1.12,0
Banten,94.22,131,42.68,70.41,0.683,120,67.29,0.34,0
DKI Jakarta,417.23,132,44.06,67.12,0.952,114,365.76,1.83,0
Sulawesi Selatan,496.27,138,32.94,94.59,0.805,120,494.85,2.47,0
Sulawesi Selatan,62.22,134,60.3,94.11,0.708,132,53.57,0.27,0
Banten,355.92,127,51.65,76.41,0.596,102,357.94,1.79,0
Sumatera Selatan,168.86,125,31.26,72.47,0.95,116,94.05,0.47,0
DKI Jakarta,149.54,138,33.36,63.25,0.811,148,137.87,0.69,0
DKI Jakarta,40.23,131,31.0,72.54,0.794,134,29.95,0.15,0
Jawa Tengah,145.76,113,39.36,70.14,0.79,101,64.06,0.32,0
Riau,94.7,120,23.34,50.34,0.865,115,77.6,0.39,0
Jawa Barat,812.14,138,25.53,87.17,0.657,151,656.01,3.28,1
DKI Jakarta,263.42,133,8.99,71.49,0.765,134,275.04,1.38,0
Riau,128.08,139,30.22,60.92,0.891,135,105.33,0.53,0
Sumatera Selatan,262.5,147,47.78,82.65,0.435,142,127.31,0.64,1
Sumatera Selatan,104.82,136,33.17,71.94,0.534,145,109.46,0.55,0
Sumatera Selatan,23.66,140,33.85,65.37,0.845,120,14.31,0.07,0
Bali,371.55,129,38.34,61.31,0.7,125,317.01,1.59,0
Riau,144.76,127,22.97,52.9,0.708,114,114.2,0.57,1
Sumatera Utara,69.48,124,35.3,74.65,0.565,116,43.84,0.22,1
Bali,193.88,142,45.68,68.4,0.785,115,128.8,0.64,1
Jawa Timur,324.14,147,38.68,51.98,0.647,152,267.24,1.34,0
DKI Jakarta,241.2,132,46.74,89.81,0.785,112,233.15,1.17,0
Sumatera Selatan,92.03,129,50.17,89.61,0.947,124,93.44,0.47,0
Jawa Tengah,24.43,126,42.95,74.01,0.933,135,25.5,0.13,0
Sulawesi Selatan,317.99,135,26.44,91.11,0.883,118,151.33,0.76,0
Banten,112.58,134,30.87,73.57,0.712,120,58.78,0.29,1
Bali,15.32,130,58.18,58.28,0.738,119,8.18,0.04,0
DKI Jakarta,38.78,123,38.77,75.36,0.347,118,40.05,0.2,0
Riau,18.04,124,37.17,65.32,0.788,107,8.36,0.04,0
Banten,184.18,125,24.68,72.17,0.574,127,157.12,0.79,0
Banten,344.68,126,33.9,97.56,0.897,124,352.44,1.76,0
Jawa Tengah,208.02,148,43.6,67.42,0.679,122,161.0,0.8,0
Sulawesi Selatan,43.86,122,35.18,60.58,0.885,116,17.77,0.09,1
Jawa Timur,411.56,121,28.77,56.3,0.828,109,182.19,0.91,1
Bali,40.53,117,31.55,93.31,0.79,105,34.91,0.17,0
Banten,297.94,106,49.3,50.73,0.664,116,196.32,0.98,0
DKI Jakarta,139.33,118,43.01,94.47,0.565,108,101.53,0.51,1
Bali,10.52,132,41.41,53.03,0.52,106,4.52,0.02,1
Jawa Barat,44.9,128,40.29,86.88,0.637,116,44.18,0.22,0
Jawa Tengah,27.2,141,20.8,64.39,0.675,138,26.89,0.13,0
Bali,140.86,144,38.27,62.25,0.79,138,111.47,0.56,0
Bali,230.49,140,47.82,58.82,0.583,115,163.56,0.82,0
Sulawesi Selatan,179.16,144,31.87,56.59,0.807,122,117.51,0.59,0
Banten,323.85,147,46.73,53.25,0.873,151,171.19,0.86,0
Sumatera Selatan,171.52,130,41.54,57.6,0.51,104,173.37,0.87,0
Jawa Timur,40.04,134,44.93,78.84,0.893,116,28.75,0.14,0
Sumatera Selatan,204.85,123,35.61,77.91,0.619,134,96.33,0.48,1
Sumatera Utara,148.32,128,45.64,63.77,0.959,127,135.76,0.68,0
DKI Jakarta,107.38,121,17.42,83.31,0.498,105,110.78,0.55,0
Banten,305.01,145,35.4,87.71,0.673,124,177.99,0.89,1
Banten,677.9,148,43.56,98.03,0.694,136,573.94,2.87,0
Jawa Tengah,82.73,130,38.56,71.55,0.546,129,86.7,0.43,0
Jawa Timur,118.93,129,48.15,68.35,0.692,109,56.45,0.28,1
Sumatera Utara,162.57,119,33.11,97.69,0.812,121,150.9,0.75,0
